Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,1,ETH,,Josephkifle2500,Yoseph Kifle Kebede,2474,W4W,W6B,W20W,W2B,W3B,W38W,W13W,W10B,W8W,9,42,45,45,0,9,4,1724
2,3,ETH,,xDanielB,Daniel B.,2061,W41B,W30W,W19B,L1W,W13B,W4W,W11W,L3B,W5W,7,39.5,39.5,24,0,7,3,1623
3,8,ETH,,binyamash,Ash,1595,U--,W29B,W16W,W10B,L1W,W5W,D4B,W2W,W7B,6.5,41,42,29.75,0,6,3,1542
4,17,ETH,,nxeno,,1436,L1B,W43W,W27W,W14B,W20W,L2B,D3W,W11B,W10W,6.5,40.5,40.5,21.25,0,6,2,1800
5,21,ETH,,josh_147,,1177,L19W,L28B,W29W,W18B,W6W,L3B,W9W,W12B,L2B,5,36,37,18.5,0,5,2,1683
6,9,ETH,,Mechot,Yared,1474,W29W,L1W,W26B,L13W,L5B,L7W,W24B,W18B,W17W,5,34,35,12,0,5,3,1276
7,24,ETH,,251l251,,1069,L12W,L27B,L21W,W15B,W22W,W6B,W19W,W14B,L3W,5,33,35,19,0,5,3,1408
8,14,ETH,,natiyeee,Natnael Desta,1490,W26W,L19B,W28W,L38B,W27W,L12B,W18W,W13B,L1B,5,31,33,13,0,5,1,1695
9,2,ETH,,Ikhlasuh,,2110,U--,W24W,L13B,W25W,L10B,W17W,L5B,W21W,W11W,5,27,29,15.5,0,5,0,1347
10,6,ETH,,VIVIDRM,Abdulaziz Faris,1707,W17W,D11B,W25B,L3W,W9W,L13B,W12W,L1W,L4B,4.5,43.5,45.5,17.25,0,4,1,1652
11,15,ETH,,Fula_710,Befiker,1474,W15B,D10W,W12W,L20B,W28W,W14W,L2B,L4W,L9B,4.5,38.5,40.5,16.75,0,4,1,1792
12,7,ETH,,Inordinate_Maze,,1598,W7B,D25W,L11B,W24B,L38W,W8W,L10B,L5W,W13W,4.5,34,36,17.5,0,4,2,1470
13,13,ETH,,TOP123F,,1509,W43B,L20W,W9W,W6B,L2W,W10W,L1B,L8W,L12B,4,43,43,14.5,0,4,2,1864
14,2,ETH,,Mrhn11,Hashim Osman,1478,U--,W42W,W18B,L4W,W19W,L11B,W16B,L7W,U--,4,26,26,10,0,4,2,1224
15,30,ETH,,EPicassoo,,633,L11W,W21B,L23B,L7W,L17B,L22B,BYE,W25W,W18W,4,25,27,8,0,3,1,980
16,2,ETH,,Shihab_wv,,760,U--,W33W,L3B,L27B,W40W,W23B,L14W,L17W,BYE,4,20,20,4,0,3,1,1353
17,23,ETH,,Samrii_G,Samrawit Girma,1038,L10B,L38W,W43B,L28B,W15W,L9B,D25W,W16B,L6B,3.5,30,30,9,0,3,2,1418
18,32,ETH,,Yalelet,,541,L24B,BYE,L14W,L5W,W26B,W21W,L8B,L6W,L15B,3,28.5,30.5,5,0,2,1,1262
19,5,ETH,,leyeleyeleye,,1743,W5B,W8W,L2W,U--,L14B,W24W,L7B,U--,U--,3,26,28.5,12.5,0,3,1,1522
20,4,ETH,,TermuzeChess,Termuze musa,1960,W34W,W13B,L1B,W11W,L4B,U--,U--,U--,U--,3,24,24,8.5,0,3,1,1719
21,2,ETH,,SUFO_CLOWN,,1118,U--,L15W,W7B,W26W,L24W,L18B,W22W,L9B,U--,3,22.5,24.5,10,0,3,1,1072
22,31,ETH,,daniel_alemu,,527,U--,U--,BYE,U--,L7B,W15W,L21B,L23W,W25B,3,15,17,6,0,2,1,968
23,19,ETH,,Mikiale17,,1085,U--,L26B,W15W,U--,W25B,L16W,U--,W22B,U--,3,13,15,9,0,3,2,652
24,16,ETH,,0Ahmed_royale0,Block Dream,1390,W18W,L9B,D38B,L12W,W21B,L19B,L6W,U--,U--,2.5,24,27,7.75,0,2,1,1667
25,33,ETH,,kaleabayele,No body,370,BYE,D12B,L10W,L9B,L23W,L26W,D17B,L15B,L22W,2,27.5,29.5,4,0,0,0,1266
26,29,ETH,,Navian2442,,694,L8B,W23W,L6W,L21B,L18W,W25B,U--,U--,U--,2,19,21,5,0,2,1,1150
27,2,ETH,,PATRIX726,Nebil,1622,U--,W7W,L4B,W16W,L8B,U--,U--,U--,U--,2,16.5,20.5,9,0,2,0,1319
28,2,ETH,,ShebaSeer,,1983,U--,W5W,L8B,W17W,L11B,U--,U--,U--,U--,2,14.5,18,8.5,0,2,0,1380
29,25,ETH,,ThegoatVENOM,venom,881,L6B,L3W,L5B,L40W,BYE,U--,U--,U--,U--,1,16.5,17.5,0,0,0,0,1421
30,12,ETH,,Mikenusbludersun,Michael Tarekegn,1497,W32W,L2B,U--,U--,U--,U--,U--,U--,U--,1,7,7,0,0,1,0,2076
31,11,ETH,,Crushmagnus,Abela ☦️,1499,U--,W32B,U--,U--,U--,U--,U--,U--,U--,1,0,0,0,0,1,1,0
32,27,ESC,,Naolcarlson1,,887,L30B,L31W,U--,U--,U--,U--,U--,U--,U--,0,1,2,0,0,0,0,1499
33,2,ETH,,jahmxi,Yohannes Tsegaye,1295,U--,L16B,U--,U--,U--,U--,U--,U--,U--,0,0,4,0,0,0,0,0
34,20,ETH,,TebarekA,Tebarek Abdulkadir,1161,L20B,U--,U--,U--,U--,U--,U--,U--,U--,0,0,3,0,0,0,0,0
35,2,ETH,,kinuu44,,1838,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
36,22,ETH,,lullemk,lulle,1180,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
37,1,ETH,,1u3l,luel,489,U--,U--,U--,U--,U--,U--,U--,U--,U--,0,0,0,0,0,0,0,0
